GapWidth,mm,0.5 mm,The gap between sliding parts.
GapAction,mm,3 mm,
Index_tx,mm,-24.90 mm,
Index_ty,mm,7.824 mm,
Index_tz,mm,-8.139 mm,
Index_rx,deg,-19.7 deg,
Index_ry,deg,28.8 deg,
Index_rz,deg,-7.4 deg,
Middle_tx,mm,-6.8 mm,
Middle_ty,mm,7.0 mm,
Middle_tz,mm,-15.9 mm,
Middle_rx,deg,-14.5 deg,
Middle_ry,deg,14.25 deg,
Middle_rz,deg,-6 deg,
Ring_tx,mm,12.75 mm,
Ring_ty,mm,6.88 mm,
Ring_tz,mm,-10.9 mm,
Ring_rx,deg,-4.3 deg,
Ring_ry,deg,-4 deg,
Ring_rz,deg,-3 deg,
Pinky_tx,mm,29 mm,
Pinky_ty,mm,8.5 mm,
Pinky_tz,mm,-3 mm,
Pinky_rx,deg,29 deg,
Pinky_ry,deg,-21 deg,
Pinky_rz,deg,-5 deg,
Thumb_tx,mm,6.85 mm,
Thumb_ty,mm,10.5 mm,
Thumb_tz,mm,20.3 mm,
Thumb_rx,deg,49.5 deg,
Thumb_ry,deg,150.5 deg,
Thumb_rz,deg,54 deg,
d353,mm,10.00 mm,
d354,mm,10.00 mm,
d1,mm,1 mm,
d2,deg,0.0 deg,
d7,deg,180.0 deg,
d8,mm,0.00 mm,
d9,mm,0.00 mm,
d10,mm,0.00 mm,
d15,deg,180.0 deg,
d16,mm,0.00 mm,
d17,mm,0.00 mm,
d18,mm,0.00 mm,
d19,deg,180.0 deg,
d20,mm,0.00 mm,
d21,mm,0.00 mm,
d22,mm,0.00 mm,
d27,deg,180.0 deg,
d28,mm,0.00 mm,
d29,mm,0.00 mm,
d30,mm,0.00 mm,
d31,deg,180.0 deg,
d32,mm,0.00 mm,
d33,mm,0.00 mm,
d34,mm,0.00 mm,
d109,,1,
d110,mm,0.559 mm,
d317,mm,0.5 mm,
d318,deg,0.0 deg,
d319,mm,0.01 mm,
d330,deg,Index_rx,
d331,deg,Index_ry,
d332,deg,Index_rz,
d333,mm,Index_tx,
d334,mm,Index_ty,
d335,mm,Index_tz,
d342,deg,Middle_rx,
d343,deg,Middle_ry,
d344,deg,Middle_rz,
d345,mm,Middle_tx,
d346,mm,Middle_ty,
d347,mm,Middle_tz,
d373,deg,Ring_rx,
d374,deg,Ring_ry,
d375,deg,Ring_rz,
